source_key,jurisdiction,agency_coverage,portal,source_name,official_url,data_type,access_method,auth_required,when_public,historical_depth,update_cadence,stable_identifiers,automation_feasibility,terms_access_constraints,sample_records_collected,known_gaps,verified_on
caleprocure_event_list,California (state),67 issuing agencies observed,Cal eProcure,Active event list (PeopleSoft AUC_RESP_INQ_AUC),https://caleprocure.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/AUC_MANAGE_BIDS.AUC_RESP_INQ_AUC.GBL,solicitations,HTML (server-rendered PeopleSoft component),no,at advertisement,none - active-only feed,continuous,"(business_unit, event_id) - 375/375 unique; event_id format varies","high - single GET, 1.13MB, no pagination, all 375 rows in one response",bare .GBL is public; adding ?page=AUC_RESP_INQ_AUC (README's form) 302s to login. Cookie jar + redirect-follow required. Self-identifying crawler UA sufficient,"375 rows x 10 fields, all populated, selfcheck passed","active-only, so disappearance is the ONLY closure signal - a failed run must record 'no signal', never 'all closed'. No attachments in this response",2026-09-07
caleprocure_event_detail,California (state),per event,Cal eProcure,Event detail (AUC_RESP_INQ_DTL),https://caleprocure.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/AUC_MANAGE_BIDS.AUC_RESP_INQ_DTL.GBL?Page=AUC_RESP_INQ_DTL&Action=U&AUC_ID=<id>&AUC_ROUND=1&BIDDER_ID=BID0000001&BIDDER_LOC=1&BIDDER_SETID=STATE&BIDDER_TYPE=B&BUSINESS_UNIT=<bu>,solicitations,"HTML (deterministic GET, no postback)",no,at advertisement,current event only,continuous,"(business_unit, event_id); AUC_VERSION for change detection",high - needs Referer + session cookie from the list request,same session requirement as the list,"1 event (2660, 04A7615): 81828b, 5 UNSPSC codes, 3 named addenda",attachment filenames are NOT in this HTML; addendum history is free text needing parsing,2026-09-07
caleprocure_event_package,California (state),per event,Cal eProcure,Event attachments (package postback + signed view URL),POST .../AUC_RESP_INQ_DTL.GBL ICAction=RESP_INQ_DL0_WK_AUC_DOWNLOAD_PB then ICAction=PV_ATTACH_WRK_SCM_DOWNLOAD$N then GET the window.open URL,documents,"HTML postback chain + signed GET (plain HTTP, no browser)",no,at advertisement; addenda as issued,per event,per addendum,filename + SHA-256; CS_AUC_WRK_CS_VERSION per row,"high - VERIFIED 6/6 PDFs, 3,407,993 bytes, on event (2660, 04A7615)","anonymous; no auth, no CAPTCHA. Serial per event: ICStateNum increments each postback and must be carried forward",6 PDFs downloaded and hashed; manifest in data/raw/documents/2660_04A7615/,"signed view URL is per-request and not durable, so it cannot be cached as a permanent locator. Grid uses double-quoted attributes unlike the rest of the page - a single-quote regex returns zero rows and mimics 'no attachments'. Filename-prefix role convention unvalidated beyond one agency",2026-09-07
caleprocure_vendor_ads,California (state),per event,Cal eProcure,Event vendor ads (Prime Seeking Sub / Sub Seeking Prime),POST .../AUC_RESP_INQ_DTL.GBL with ICAction=ZZ_VNDR_AD_WRK_VENDOR_DETAILS_PB,declared interest,HTML via postback,no,when the ad is placed,ad create/update timestamps,continuous,"joins on (ZZ_VNDR_AD_TBL_BUSINESS_UNIT, ZZ_VNDR_AD_TBL_AUC_ID)",high - one postback per event; harvested across the whole open feed with no failures,"public, anonymous","106 ads across 98 of 356 events (258 stated no ad, 0 failed); 11 prime-seeking-sub","ONLY CA source tying a named company to a specific solicitation. But: contact is a person, no supplier_id, company name only in free text -> fuzzy match to SCPRS. Generic bid-assistance ads recur across unrelated events and must be discounted",2026-09-11
caleprocure_response_bid_inquiry,California (state),statewide departments,Cal eProcure,Response Bid Inquiry (respondent fields),https://caleprocure.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/AUC_MANAGE_BIDS.AUC_RESP_INQ_AUC.GBL?page=AUC_RESP_INQ_AUC,responses/bidders,HTML (bare .GBL and ?page= form; both public),"no - and signing in is actively worse, see gaps",not publicly disclosed anonymously,unknown,unknown,unknown,"high, but pointless for bidders: returns the same event grid the pipeline already harvests",public and anonymous; a supplier login was tried 2026-09-10 and exposes no respondent fields (see gaps) so the pipeline stays anonymous,356 events as guest; identical field set to the .GBL feed's 375 (2026-09-10),"TESTED WITH A REAL SUPPLIER LOGIN 2026-09-10 and the answer did not change: California does not disclose other bidders' identities here. Guest access returns an event grid whose columns are Department/Event ID/Name/Format/Type/End Date/Status/Buyer Name/Buyer Email - no respondent column, and no respondent field ids anywhere in the page. Signed in as a registered supplier the landing page is the same. Signing in also BREAKS the event detail the pipeline depends on: that URL carries BIDDER_ID=BID0000001 (the generic Default Bidder) and an authenticated session is rejected with 'Invalid User Information BID0000001/B'; dropping the bidder params yields the component search dialog, not the event. This is PeopleSoft Strategic Sourcing behaving correctly - a bidder inquires about its OWN responses - so the pipeline should stay anonymous. Earlier 302-to-login was not reproduced",2026-09-10
caleprocure_scprs,California (state),statewide departments,Cal eProcure,SCPRS award registry (ZZ_PO.ZZ_SCPRS1_CMP),https://caleprocure.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/ZZ_PO.ZZ_SCPRS1_CMP.GBL?FolderPath=PORTAL_ROOT_OBJECT.ZZ_FISCAL_SCPRS.ZZ_SCPRS1_CMP_GBL&IsFolder=false&IgnoreParamTempl=FolderPath%2cIsFolder,awards/contracts,HTML (GET then search POST with ICSID/ICStateNum),no,after award registration,SFY2010 onward per DGS,continuous,purchase_doc; supplier_id (canonical vendor key),"high for sliced queries - 46,242 records in a 2-month window, 200/page",the FolderPath params are what make it public; bare component URL 302s to login,"prior recon: 200/200 rows on a date query and 200/200 on a supplier-name query, 13 fields","pagination past row 200 unresolved (NEXT control does not advance under automation); workaround is date/department slicing. No bidder set, only awardees",2026-09-07
caleprocure_supplier_search,California (state),certification-registered suppliers statewide,Cal eProcure,Supplier search (ZZ_PO.ZZ_PUBSRCH),https://caleprocure.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/ZZ_PO.ZZ_PUBSRCH.GBL,suppliers/certifications/location,"HTML (bare .GBL, then ICAction=ZZ_PUBSRCH1_WRK_BUTTON)",no,on registration/certification,current state only,continuous,supplier name; certification id (no supplier_id observed in results),"high - verified live, no login, criteria required","public and anonymous. Results include contact names, emails and phone numbers; README puts private contact enrichment out of scope, so those fields are deliberately not harvested","1 live search ('AVIATE'): city, postal, address, country, business type, certification labels, NAICS, license codes returned","ANSWERS THE GEOGRAPHY GAP - city, postal code and street address per supplier. Component is titled 'Custom Component for SB orDVBE' so coverage may be limited to certification-registered suppliers rather than all state suppliers; must be measured. No supplier_id in results, so the join to SCPRS is by name and inherits that weakness.",2026-09-09
caleprocure_lpa,California (state),statewide purchasing vehicles,Cal eProcure,Leveraged Procurement Agreement search (ZZ_PO.ZZ_CNT_SRC_CMP_BKP),https://caleprocure.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/ZZ_PO.ZZ_CNT_SRC_CMP_BKP.GBL,contracts/purchasing vehicles,"HTML (bare .GBL, then ICAction=ZZ_CTR_SRC2_WRK_SEARCH_BTN)",no,on award of the vehicle,active vehicles with expiry dates,continuous,CNTRCT_ID (matches SCPRS lpa_contract); VENDOR_ID1 (matches SCPRS supplier_id),"high - verified live. Searchable by vendor id, vendor name, contract id, buyer, acquisition type","public and anonymous. An empty search returns nothing, so criteria are required. ZZ_CTR_SRC2_WRK_BUTTON returns a page with no grid; SEARCH_BTN is the working action","2 live searches (vendor_id 0000015031, name GRAINGER): contract id, vendor id, vehicle type, scope, expiry, buyer, acquisition type returned","POPULATES THE 'presence on a statewide contract or purchasing vehicle' PREDICTION FEATURE, which predict.py scores but has always evaluated to zero. Joins on identifier rather than name - the only surface besides SCPRS where that is true.",2026-09-09
caleprocure_payment_search,California (state),statewide departments,Cal eProcure,FI$Cal Payment Progress Search (ZZ_PO.ZZ_PMNTSRCH_PG),https://caleprocure.ca.gov/psc/psfpd1/SUPPLIER/ERP/c/ZZ_PO.ZZ_PMNTSRCH_PG.GBL?PORTALPARAM_PTCNAV=ZZ_PMNTSRCH_PG_GBL&EOPP.SCNode=ERP&EOPP.SCPortal=SUPPLIER&EOPP.SCName=ADMN_PUBLIC_SEARCH&EOPP.SCPTcname=PT_PTPP_SCFNAV_BASEPAGE_SCR&FolderPath=PORTAL_ROOT_OBJECT.PORTAL_BASE_DATA.CO_NAVIGATION_COLLECTIONS.ADMN_PUBLIC_SEARCH.ADMN_S201504300556127137858824&IsFolder=false,payments,HTML,no,after payment,unknown,unknown,purchase order number; supplier name,medium - public and anonymous; result-grid fields not yet mapped,"public via the long param set on caleprocure (NOT via suppliers.fiscal.ca.gov, which times out)","0 - page reachable, extraction not attempted",distinguishes holding a contract from being actively paid under it - real incumbency corroboration. Field extraction still to map,2026-09-07
openfiscal_dept_vendor_tx,California (state),154 state departments,Open FI$Cal,Department vendor transactions (bulk CSV),https://open.fiscal.ca.gov/dept_vendor_transaction.html,expenditures,download (direct CSV via published pointer manifest),no,after accounting period close,FY16-FY25 (10 years),manifest re-dated 2026-09-07,business_unit; document_id,"high - plain HTTP, HTTP Range supported, no JS, no auth, no CAPTCHA",blob host publishes no robots.txt (400 on /robots.txt); voluntary rate limit applied,1230-row manifest + 3KB header sample (26 columns),"payments only - no bidders, no solicitation ids. VENDOR_NAME truncated ~30 chars, so join to SCPRS supplier_id by name with low confidence. document_id is a FI$Cal voucher ref; join to SCPRS purchase_doc UNPROVEN. 10.6GB total, selective fetch required",2026-09-07
